optimal L1 norm: 3.02846138e-07,
step 0, function loss: 644.785, regularized loss: 644.785
step 800, function loss: 65.5931, regularized loss: 65.5931
step 1600, function loss: 47.9769, regularized loss: 47.9769
step 2400, function loss: 47.7071, regularized loss: 47.7071
step 3200, function loss: 31.9971, regularized loss: 31.9971
step 4000, function loss: 31.9945, regularized loss: 31.9945
step 4800, function loss: 31.9878, regularized loss: 31.9878
step 5600, function loss: 31.9571, regularized loss: 31.9571
step 6400, function loss: 22.7107, regularized loss: 22.7107
step 7200, function loss: 16.0, regularized loss: 16.0
step 8000, function loss: 16.0, regularized loss: 16.0
step 8800, function loss: 16.0, regularized loss: 16.0
step 9600, function loss: 16.0, regularized loss: 16.0
step 10400, function loss: 16.0, regularized loss: 16.0
step 11200, function loss: 16.0, regularized loss: 16.0
step 12000, function loss: 16.0, regularized loss: 16.0
step 12800, function loss: 16.0, regularized loss: 16.0
step 13600, function loss: 16.0, regularized loss: 16.0
step 14400, function loss: 16.0, regularized loss: 16.0
step 15200, function loss: 16.0, regularized loss: 16.0
step 16000, function loss: 16.0, regularized loss: 16.0
step 16800, function loss: 16.0, regularized loss: 16.0
step 17600, function loss: 16.0, regularized loss: 16.0
step 18400, function loss: 16.0, regularized loss: 16.0
step 19200, function loss: 16.0, regularized loss: 16.0
step 20000, function loss: 16.0, regularized loss: 16.0
step 20800, function loss: 16.0, regularized loss: 16.0
step 21600, function loss: 16.0, regularized loss: 16.0
step 22400, function loss: 15.9999, regularized loss: 15.9999
step 23200, function loss: 16.0, regularized loss: 16.0
step 24000, function loss: 15.9999, regularized loss: 15.9999
step 24800, function loss: 15.9999, regularized loss: 15.9999
step 25600, function loss: 15.9999, regularized loss: 15.9999
step 26400, function loss: 15.9999, regularized loss: 15.9999
step 27200, function loss: 15.9999, regularized loss: 15.9999
step 28000, function loss: 15.9999, regularized loss: 15.9999
step 28800, function loss: 15.9999, regularized loss: 15.9999
step 29600, function loss: 15.9999, regularized loss: 15.9999
step 30400, function loss: 15.9999, regularized loss: 15.9999
step 31200, function loss: 15.9999, regularized loss: 15.9999
step 32000, function loss: 15.9999, regularized loss: 15.9999
step 32800, function loss: 15.9999, regularized loss: 15.9999
step 33600, function loss: 15.9999, regularized loss: 15.9999
step 34400, function loss: 15.9999, regularized loss: 15.9999
step 35200, function loss: 15.9999, regularized loss: 15.9999
step 36000, function loss: 15.9999, regularized loss: 15.9999
step 36800, function loss: 15.9999, regularized loss: 15.9999
step 37600, function loss: 15.9999, regularized loss: 15.9999
step 38400, function loss: 15.9998, regularized loss: 15.9998
step 39200, function loss: 15.9998, regularized loss: 15.9998
step 40000, function loss: 15.9998, regularized loss: 15.9998
step 40800, function loss: 15.9998, regularized loss: 15.9998
step 41600, function loss: 15.9998, regularized loss: 15.9998
step 42400, function loss: 15.9998, regularized loss: 15.9998
step 43200, function loss: 15.9998, regularized loss: 15.9998
step 44000, function loss: 15.9997, regularized loss: 15.9997
step 44800, function loss: 15.9997, regularized loss: 15.9997
step 45600, function loss: 15.9997, regularized loss: 15.9997
step 46400, function loss: 15.9997, regularized loss: 15.9997
step 47200, function loss: 15.9996, regularized loss: 15.9996
step 48000, function loss: 15.9996, regularized loss: 15.9996
step 48800, function loss: 15.9995, regularized loss: 15.9995
step 49600, function loss: 15.9995, regularized loss: 15.9995
step 50400, function loss: 15.9994, regularized loss: 15.9994
step 51200, function loss: 15.9993, regularized loss: 15.9993
step 52000, function loss: 15.9992, regularized loss: 15.9992
step 52800, function loss: 15.999, regularized loss: 15.999
step 53600, function loss: 15.9988, regularized loss: 15.9988
step 54400, function loss: 15.9985, regularized loss: 15.9985
step 55200, function loss: 15.9981, regularized loss: 15.9981
step 56000, function loss: 15.9975, regularized loss: 15.9975
step 56800, function loss: 15.9964, regularized loss: 15.9964
step 57600, function loss: 15.9944, regularized loss: 15.9944
step 58400, function loss: 15.9897, regularized loss: 15.9897
step 59200, function loss: 15.9734, regularized loss: 15.9734
step 60000, function loss: 15.7248, regularized loss: 15.7248
step 60800, function loss: 6.77604e-10, regularized loss: 1.06249e-06
step 61600, function loss: 7.07406e-11, regularized loss: 1.06188e-06
step 62400, function loss: 3.885e-11, regularized loss: 1.06185e-06
step 63200, function loss: 3.21643e-11, regularized loss: 1.06184e-06
step 64000, function loss: 2.83672e-11, regularized loss: 1.06184e-06
step 64800, function loss: 2.36409e-11, regularized loss: 1.06183e-06
step 65600, function loss: 2.43338e-11, regularized loss: 1.06183e-06
step 66400, function loss: 2.28514e-11, regularized loss: 1.06183e-06
step 67200, function loss: 2.2902e-11, regularized loss: 1.06183e-06
step 68000, function loss: 2.35517e-11, regularized loss: 1.06183e-06
step 68800, function loss: 2.27241e-11, regularized loss: 1.06183e-06
step 69600, function loss: 2.05489e-11, regularized loss: 1.06183e-06
step 70400, function loss: 2.32079e-11, regularized loss: 1.06183e-06
step 71200, function loss: 2.61839e-11, regularized loss: 1.06184e-06
step 72000, function loss: 2.38899e-11, regularized loss: 1.06183e-06
step 72800, function loss: 1.93459e-11, regularized loss: 1.06183e-06
step 73600, function loss: 2.27956e-11, regularized loss: 1.06183e-06
step 74400, function loss: 2.06121e-11, regularized loss: 1.06183e-06
step 75200, function loss: 2.5581e-11, regularized loss: 1.06184e-06
step 76000, function loss: 2.2273e-11, regularized loss: 1.06183e-06
step 76800, function loss: 2.17177e-11, regularized loss: 1.06183e-06
step 77600, function loss: 1.9877e-11, regularized loss: 1.06183e-06
step 78400, function loss: 2.13083e-11, regularized loss: 1.06183e-06
step 79200, function loss: 2.05563e-11, regularized loss: 1.06183e-06
optimal L1 norm: 3.02846138e-07,
step 0, function loss: 778.432, regularized loss: 778.432
step 800, function loss: 48.9307, regularized loss: 48.9307
step 1600, function loss: 47.7513, regularized loss: 47.7513
step 2400, function loss: 31.9992, regularized loss: 31.9992
step 3200, function loss: 31.9988, regularized loss: 31.9989
step 4000, function loss: 31.9983, regularized loss: 31.9983
step 4800, function loss: 31.9974, regularized loss: 31.9974
step 5600, function loss: 31.9956, regularized loss: 31.9956
step 6400, function loss: 31.9915, regularized loss: 31.9915
step 7200, function loss: 31.9779, regularized loss: 31.9779
step 8000, function loss: 31.8259, regularized loss: 31.8259
step 8800, function loss: 16.0, regularized loss: 16.0
step 9600, function loss: 16.0, regularized loss: 16.0
step 10400, function loss: 16.0, regularized loss: 16.0
step 11200, function loss: 16.0, regularized loss: 16.0
step 12000, function loss: 16.0, regularized loss: 16.0
step 12800, function loss: 16.0, regularized loss: 16.0
step 13600, function loss: 16.0, regularized loss: 16.0
step 14400, function loss: 16.0, regularized loss: 16.0
step 15200, function loss: 16.0, regularized loss: 16.0
step 16000, function loss: 16.0, regularized loss: 16.0
step 16800, function loss: 15.9999, regularized loss: 16.0
step 17600, function loss: 15.9999, regularized loss: 15.9999
step 18400, function loss: 15.9999, regularized loss: 15.9999
step 19200, function loss: 15.9999, regularized loss: 15.9999
step 20000, function loss: 15.9999, regularized loss: 15.9999
step 20800, function loss: 15.9999, regularized loss: 15.9999
step 21600, function loss: 15.9999, regularized loss: 15.9999
step 22400, function loss: 15.9999, regularized loss: 15.9999
step 23200, function loss: 15.9999, regularized loss: 15.9999
step 24000, function loss: 15.9999, regularized loss: 15.9999
step 24800, function loss: 15.9998, regularized loss: 15.9998
step 25600, function loss: 15.9998, regularized loss: 15.9998
step 26400, function loss: 15.9998, regularized loss: 15.9998
step 27200, function loss: 15.9998, regularized loss: 15.9998
step 28000, function loss: 15.9997, regularized loss: 15.9997
step 28800, function loss: 15.9997, regularized loss: 15.9997
step 29600, function loss: 15.9997, regularized loss: 15.9997
step 30400, function loss: 15.9996, regularized loss: 15.9996
step 31200, function loss: 15.9995, regularized loss: 15.9995
step 32000, function loss: 15.9995, regularized loss: 15.9995
step 32800, function loss: 15.9993, regularized loss: 15.9993
step 33600, function loss: 15.9992, regularized loss: 15.9992
step 34400, function loss: 15.999, regularized loss: 15.999
step 35200, function loss: 15.9987, regularized loss: 15.9987
step 36000, function loss: 15.9984, regularized loss: 15.9984
step 36800, function loss: 15.9978, regularized loss: 15.9978
step 37600, function loss: 15.9968, regularized loss: 15.9968
step 38400, function loss: 15.9951, regularized loss: 15.9951
step 39200, function loss: 15.9912, regularized loss: 15.9912
step 40000, function loss: 15.9789, regularized loss: 15.9789
step 40800, function loss: 15.8686, regularized loss: 15.8686
step 41600, function loss: 2.2287e-08, regularized loss: 1.08562e-06
step 42400, function loss: 9.07201e-11, regularized loss: 1.06342e-06
step 43200, function loss: 4.4768e-11, regularized loss: 1.06338e-06
step 44000, function loss: 3.42209e-11, regularized loss: 1.06336e-06
step 44800, function loss: 3.12479e-11, regularized loss: 1.06336e-06
step 45600, function loss: 2.45558e-11, regularized loss: 1.06336e-06
step 46400, function loss: 2.45764e-11, regularized loss: 1.06336e-06
step 47200, function loss: 2.4426e-11, regularized loss: 1.06335e-06
step 48000, function loss: 2.28228e-11, regularized loss: 1.06335e-06
step 48800, function loss: 1.97718e-11, regularized loss: 1.06335e-06
step 49600, function loss: 1.96866e-11, regularized loss: 1.06335e-06
step 50400, function loss: 2.15393e-11, regularized loss: 1.06335e-06
step 51200, function loss: 2.02938e-11, regularized loss: 1.06335e-06
step 52000, function loss: 2.17135e-11, regularized loss: 1.06335e-06
step 52800, function loss: 2.0309e-11, regularized loss: 1.06335e-06
step 53600, function loss: 2.01247e-11, regularized loss: 1.06335e-06
step 54400, function loss: 2.06044e-11, regularized loss: 1.06335e-06
step 55200, function loss: 2.22696e-11, regularized loss: 1.06335e-06
step 56000, function loss: 1.99705e-11, regularized loss: 1.06335e-06
step 56800, function loss: 2.30757e-11, regularized loss: 1.06335e-06
step 57600, function loss: 2.24054e-11, regularized loss: 1.06335e-06
step 58400, function loss: 2.26729e-11, regularized loss: 1.06335e-06
step 59200, function loss: 2.18181e-11, regularized loss: 1.06335e-06
step 60000, function loss: 2.03162e-11, regularized loss: 1.06335e-06
step 60800, function loss: 2.05287e-11, regularized loss: 1.06335e-06
step 61600, function loss: 2.11805e-11, regularized loss: 1.06335e-06
step 62400, function loss: 2.03852e-11, regularized loss: 1.06335e-06
step 63200, function loss: 2.16318e-11, regularized loss: 1.06335e-06
step 64000, function loss: 2.04585e-11, regularized loss: 1.06335e-06
step 64800, function loss: 2.15788e-11, regularized loss: 1.06335e-06
step 65600, function loss: 2.25608e-11, regularized loss: 1.06335e-06
step 66400, function loss: 2.07128e-11, regularized loss: 1.06335e-06
step 67200, function loss: 2.06234e-11, regularized loss: 1.06335e-06
step 68000, function loss: 1.87953e-11, regularized loss: 1.06335e-06
step 68800, function loss: 2.2048e-11, regularized loss: 1.06335e-06
step 69600, function loss: 1.95568e-11, regularized loss: 1.06335e-06
step 70400, function loss: 2.10299e-11, regularized loss: 1.06335e-06
step 71200, function loss: 2.2221e-11, regularized loss: 1.06335e-06
step 72000, function loss: 2.01685e-11, regularized loss: 1.06335e-06
step 72800, function loss: 2.27455e-11, regularized loss: 1.06335e-06
step 73600, function loss: 1.88033e-11, regularized loss: 1.06335e-06
step 74400, function loss: 2.23073e-11, regularized loss: 1.06335e-06
step 75200, function loss: 2.12869e-11, regularized loss: 1.06335e-06
step 76000, function loss: 2.08718e-11, regularized loss: 1.06335e-06
step 76800, function loss: 2.11786e-11, regularized loss: 1.06335e-06
step 77600, function loss: 2.2113e-11, regularized loss: 1.06335e-06
step 78400, function loss: 2.13479e-11, regularized loss: 1.06335e-06
step 79200, function loss: 2.09733e-11, regularized loss: 1.06335e-06
